======= CASO A (sigma=14, rho=35, beta=5/3) =======
  stept |   tend  |    L1     |    L2     |    L3
   0.50 |   5000  |  0.758611 |  0.000471 | -17.409232
   0.50 |  10000  |  0.761770 |  0.000892 | -17.412873
   0.50 |  20000  |  0.766592 |  0.000617 | -17.417371
   0.10 |   5000  |  0.767423 |  0.000978 | -17.435066
   0.05 |   5000  |  0.771084 |  0.000542 | -17.438293

======= CASO B (sigma=16, rho=45, beta=4) =======
  stept |   tend  |    L1     |    L2     |    L3
   0.50 |   5000  |  1.481975 |  0.003125 | -22.428397
   0.50 |  10000  |  1.481418 |  0.003148 | -22.427952
   0.50 |  20000  |  1.480083 |  0.003215 | -22.426434
   0.10 |   5000  |  1.480639 |  0.000849 | -22.481484
   0.05 |   5000  |  1.482172 |  0.000812 | -22.482983
